rating,freq,verb,ParticipantID,routine
3,lo,sell,Participant74,lo
4,lo,chop,Participant74,lo
3,hi,pick,Participant75,lo
3,hi,catch,Participant75,hi
4,hi,throw,Participant75,lo
3,lo,break,Participant75,lo
4,lo,taste,Participant75,hi
3,lo,bottle,Participant75,lo
3,hi,sell,Participant75,hi
2,hi,chop,Participant75,lo
3,lo,pick,Participant76,lo
2,lo,catch,Participant76,hi
1,lo,throw,Participant76,lo
1,hi,break,Participant76,hi
3,hi,taste,Participant76,lo
5,hi,bottle,Participant76,lo
4,hi,sell,Participant76,lo
3,lo,chop,Participant76,hi
1,lo,pick,Participant77,lo
1,hi,catch,Participant77,lo
3,hi,throw,Participant77,lo
1,lo,break,Participant77,hi
1,hi,taste,Participant77,lo
3,hi,bottle,Participant77,hi
2,lo,sell,Participant77,lo
1,lo,chop,Participant77,hi
1,lo,pick,Participant78,lo
2,lo,catch,Participant78,hi
4,lo,throw,Participant78,hi
1,hi,break,Participant78,hi
2,hi,taste,Participant78,lo
4,lo,bottle,Participant78,hi
2,lo,sell,Participant78,hi
1,hi,chop,Participant78,lo
3,lo,pick,Participant79,lo
2,lo,catch,Participant79,hi
2,lo,throw,Participant79,hi
1,hi,break,Participant79,lo
3,lo,taste,Participant79,lo
3,hi,bottle,Participant79,lo
2,hi,sell,Participant79,hi
3,hi,chop,Participant79,hi
1,lo,pick,Participant80,hi
1,lo,catch,Participant80,hi
3,hi,throw,Participant80,hi
1,hi,break,Participant80,lo
1,lo,taste,Participant80,lo
3,lo,bottle,Participant80,lo
1,lo,sell,Participant80,lo
1,lo,chop,Participant80,hi
1,hi,pick,Participant81,lo
1,hi,catch,Participant81,lo
1,lo,throw,Participant81,lo
1,hi,break,Participant81,hi
3,hi,taste,Participant81,hi
2,hi,bottle,Participant81,lo
1,lo,sell,Participant81,lo
1,lo,chop,Participant81,hi
3,lo,pick,Participant82,hi
1,lo,catch,Participant82,hi
4,hi,throw,Participant82,lo
1,hi,break,Participant82,lo
5,lo,taste,Participant82,lo
5,lo,bottle,Participant82,hi
4,lo,sell,Participant82,hi
4,hi,chop,Participant82,lo
3,lo,pick,Participant83,hi
1,lo,catch,Participant83,lo
1,lo,throw,Participant83,lo
1,hi,break,Participant83,lo
3,hi,taste,Participant83,lo
4,hi,bottle,Participant83,hi
2,lo,sell,Participant83,hi
1,hi,chop,Participant83,lo
1,hi,pick,Participant84,lo
1,hi,catch,Participant84,hi
2,hi,throw,Participant84,hi
1,lo,break,Participant84,lo
1,hi,taste,Participant84,lo
2,hi,bottle,Participant84,hi
1,hi,sell,Participant84,lo
1,lo,chop,Participant84,lo
2,hi,pick,Participant85,hi
1,hi,catch,Participant85,lo
1,hi,throw,Participant85,hi
2,hi,break,Participant85,hi
1,hi,taste,Participant85,lo
1,hi,bottle,Participant85,lo
3,hi,sell,Participant85,hi
3,hi,chop,Participant85,hi
3,hi,pick,Participant86,hi
1,hi,catch,Participant86,hi
3,hi,throw,Participant86,lo
1,hi,break,Participant86,hi
1,hi,taste,Participant86,lo
5,lo,bottle,Participant86,lo
2,lo,sell,Participant86,lo
3,lo,chop,Participant86,hi
2,hi,pick,Participant87,hi
2,lo,catch,Participant87,lo
3,hi,throw,Participant87,lo
1,hi,break,Participant87,lo
2,lo,taste,Participant87,hi
2,lo,bottle,Participant87,lo
2,hi,sell,Participant87,hi
2,hi,chop,Participant87,lo
1,hi,pick,Participant88,hi
1,lo,catch,Participant88,lo
2,hi,throw,Participant88,lo
1,hi,break,Participant88,lo
1,hi,taste,Participant88,hi
2,lo,bottle,Participant88,lo
5,lo,sell,Participant88,lo
2,lo,chop,Participant88,hi
3,lo,pick,Participant89,lo
2,lo,catch,Participant89,lo
2,hi,throw,Participant89,lo
1,lo,break,Participant89,lo
1,hi,taste,Participant89,lo
3,hi,bottle,Participant89,lo
2,hi,sell,Participant89,lo
4,hi,chop,Participant89,hi
1,hi,pick,Participant90,lo
4,lo,catch,Participant90,hi
4,lo,throw,Participant90,hi
2,lo,break,Participant90,lo
3,hi,taste,Participant90,hi
2,hi,bottle,Participant90,lo
5,hi,sell,Participant90,hi
4,hi,chop,Participant90,hi
1,lo,pick,Participant91,lo
1,lo,catch,Participant91,hi
1,lo,throw,Participant91,lo
1,hi,break,Participant91,lo
1,hi,taste,Participant91,lo
1,lo,bottle,Participant91,lo
1,lo,sell,Participant91,lo
1,lo,chop,Participant91,lo
4,lo,pick,Participant92,hi
2,lo,catch,Participant92,hi
4,lo,throw,Participant92,hi
3,hi,break,Participant92,lo
4,lo,taste,Participant92,hi
4,lo,bottle,Participant92,lo
4,lo,sell,Participant92,lo
4,hi,chop,Participant92,hi
1,hi,pick,Participant93,lo
1,lo,catch,Participant93,hi
1,hi,throw,Participant93,hi
1,lo,break,Participant93,lo
1,hi,taste,Participant93,hi
4,hi,bottle,Participant93,hi
2,lo,sell,Participant93,lo
1,lo,chop,Participant93,hi
3,hi,pick,Participant94,lo
1,lo,catch,Participant94,lo
1,hi,throw,Participant94,lo
2,lo,break,Participant94,lo
4,lo,taste,Participant94,hi
4,lo,bottle,Participant94,lo
4,lo,sell,Participant94,lo
4,lo,chop,Participant94,hi
4,lo,pick,Participant95,lo
3,lo,catch,Participant95,lo
3,hi,throw,Participant95,lo
2,hi,break,Participant95,hi
3,hi,taste,Participant95,hi
3,lo,bottle,Participant95,lo
2,hi,sell,Participant95,hi
4,lo,chop,Participant95,lo
4,lo,pick,Participant96,hi
1,hi,catch,Participant96,lo
1,lo,throw,Participant96,lo
1,hi,break,Participant96,lo
2,hi,taste,Participant96,lo
5,lo,bottle,Participant96,hi
1,lo,sell,Participant96,hi
3,lo,chop,Participant96,lo
3,hi,pick,Participant97,lo
4,hi,catch,Participant97,lo
4,lo,throw,Participant97,lo
5,hi,break,Participant97,lo
2,lo,taste,Participant97,lo
5,lo,bottle,Participant97,lo
3,lo,sell,Participant97,hi
5,hi,chop,Participant97,hi
1,lo,pick,Participant98,lo
1,lo,catch,Participant98,lo
1,hi,throw,Participant98,hi
1,lo,break,Participant98,hi
1,lo,taste,Participant98,hi
3,lo,bottle,Participant98,hi
1,hi,sell,Participant98,hi
1,hi,chop,Participant98,hi
